school_name,conf_abbr,class,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos,player
Providence,,,95,83,31.5,4.5,9.9,.450,3.7,7.8,.476,0.8,2.2,.354,3.1,4.5,.693,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8,,8.09,Kris Dunn
Oklahoma,,,132,118,31.7,5.9,13.2,.448,3.3,6.5,.508,2.6,6.8,.390,2.8,3.4,.836,1.6,3.4,5.0,1.9,1.3,0.3,2.2,2.0,17.4,,9.28,Buddy Hield
Kentucky,,,36,36,35.2,6.8,14.9,.454,3.6,7.3,.502,3.1,7.7,.408,3.3,4.2,.783,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0,,8.84,Jamal Murray
Washington,,,34,34,24.9,5.3,9.9,.530,4.6,8.2,.568,0.6,1.8,.350,2.6,3.8,.682,2.5,2.9,5.4,0.8,0.9,1.6,2.0,4.1,13.7,,8.12,Marquese Chriss
Utah,,,70,70,26.9,5.1,7.7,.658,5.1,7.7,.659,0.0,0.0,.000,3.1,5.2,.605,2.8,5.2,8.0,1.3,0.5,1.7,1.8,2.4,13.3,,8.10,Jakob Poeltl
Gonzaga,,,74,32,26.6,5.2,8.2,.632,5.1,8.0,.638,0.1,0.2,.357,3.1,4.2,.729,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5,,4.67,Domantas Sabonis
Baylor,,,129,42,20.2,3.6,7.9,.460,2.6,5.2,.504,1.0,2.7,.376,2.0,2.8,.718,1.6,2.7,4.2,1.1,0.9,0.5,1.7,2.1,10.2,,9.08,Taurean Prince
Michigan State,,,144,116,29.0,4.0,9.1,.442,2.2,4.6,.476,1.8,4.5,.408,1.5,2.0,.779,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4,,9.21,Denzel Valentine
Washington,,,25,25,35.7,8.4,17.6,.476,6.3,12.5,.502,2.1,5.0,.413,4.4,6.7,.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,,6.82,Markelle Fultz
UCLA,,,36,36,35.1,5.3,9.5,.551,3.0,4.1,.732,2.2,5.4,.412,1.8,2.7,.673,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,,6.39,Lonzo Ball
Duke,,,29,27,33.3,5.7,12.6,.452,4.3,8.6,.504,1.4,4.0,.342,4.1,4.8,.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,,10.91,Jayson Tatum
Kansas,,,35,35,30.8,6.3,12.3,.513,5.3,9.7,.549,1.0,2.6,.378,2.8,4.9,.566,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,,12.23,Josh Jackson
Kentucky,,,36,34,29.6,5.9,12.4,.479,5.5,10.5,.521,0.5,1.9,.246,4.3,5.9,.736,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7,,10.49,De'Aaron Fox
Florida State,,,32,32,26.2,4.1,8.0,.508,3.1,5.2,.593,1.0,2.8,.348,2.9,3.7,.780,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,,8.87,Jonathan Isaac
Arizona,,,37,37,30.8,5.0,10.2,.492,3.1,5.8,.545,1.9,4.4,.423,3.7,4.4,.835,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6,,7.63,Lauri Markkanen
NC State,,,32,32,34.8,6.0,13.1,.455,4.3,8.3,.509,1.7,4.8,.359,4.5,6.3,.715,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,,8.09,Dennis Smith Jr.
Gonzaga,,,39,0,17.3,3.5,5.3,.652,3.2,4.8,.672,0.3,0.5,.476,2.8,3.8,.743,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0,,4.13,Zach Collins
Kentucky,,,38,37,32.1,6.6,14.7,.450,3.9,7.8,.497,2.7,6.9,.397,3.9,4.7,.822,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,,10.49,Malik Monk
Duke,,,73,47,31.2,5.2,11.2,.461,3.2,6.1,.526,2.0,5.1,.383,3.4,3.9,.867,1.1,3.3,4.3,2.0,0.9,0.3,1.2,2.1,15.7,,10.75,Luke Kennard
Louisville,,,65,38,26.0,4.1,9.8,.418,2.6,5.2,.497,1.5,4.6,.329,2.0,2.5,.788,1.1,3.0,4.1,2.2,1.5,0.3,1.3,2.6,11.7,,9.44,Donovan Mitchell
