player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Damian Lillard,13-17,76.5%,98-169,58.0%,16.3%,31-87,35.6%,22.6%,86-217,39.6%,58.1%,104,98,32.3,5.6,12.6,0.446,3.3,6.5,0.497,2.4,6.1,0.39,5.0,5.8,0.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6
Harrison Barnes,34-34,100.0%,66-90,73.3%,45.5%,113-293,38.6%,20.4%,49-137,35.8%,83.7%,75,73,29.3,5.8,13.6,0.43,4.3,9.1,0.469,1.5,4.4,0.349,3.1,4.3,0.734,2.0,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.3
Terrence Ross,22-28,78.6%,60-87,69.0%,55.0%,83-189,43.9%,27.7%,72-194,37.1%,87.5%,69,39,24.4,4.6,10.1,0.453,2.9,5.5,0.528,1.7,4.6,0.364,1.4,1.8,0.764,1.1,3.5,4.7,1.2,0.9,0.7,1.4,2.4,12.3
Andre Drummond,80-89,89.9%,130-185,70.3%,66.2%,27-105,25.7%,55.6%,0-2,0.0%,0%,34,30,28.4,4.6,8.6,0.538,4.6,8.5,0.541,0.0,0.1,0.0,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0
Austin Rivers,3-3,100.0%,82-141,58.2%,13.4%,34-102,33.3%,0.0%,58-159,36.5%,39.7%,34,33,33.2,5.1,11.8,0.433,3.4,7.1,0.477,1.7,4.7,0.365,3.6,5.4,0.658,0.6,2.8,3.4,2.1,1.0,0.0,2.3,2.2,15.5
Meyers Leonard,51-56,91.1%,109-144,75.7%,79.8%,60-136,44.1%,50.0%,1-11,9.1%,100.0%,65,30,19.8,3.0,5.4,0.567,3.0,5.2,0.585,0.0,0.2,0.083,1.6,2.2,0.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7
Jeremy Lamb,23-24,95.8%,67-85,78.8%,65.7%,79-158,50.0%,35.4%,71-211,33.6%,83.1%,75,74,32.1,5.3,11.0,0.482,3.8,6.6,0.573,1.6,4.5,0.348,1.9,2.4,0.806,1.1,3.6,4.7,1.7,1.0,0.6,1.6,1.6,14.1
Kendall Marshall,0-0,0%,35-53,66.0%,8.6%,42-93,45.2%,4.8%,28-79,35.4%,64.3%,73,55,28.8,2.5,5.6,0.446,1.8,3.8,0.484,0.7,1.8,0.366,1.5,2.2,0.693,0.2,2.2,2.3,8.0,1.1,0.1,2.6,1.5,7.2
John Henson,55-57,96.5%,83-115,72.2%,75.9%,122-295,41.4%,69.7%,0-0,0.0%,0%,109,82,23.8,4.4,8.8,0.497,4.3,8.5,0.505,0.0,0.2,0.208,1.6,3.2,0.484,2.5,5.7,8.1,1.0,0.6,2.5,1.5,1.5,10.3
Anthony Bennett,53-58,91.4%,100-140,71.4%,62.0%,56-129,43.4%,76.8%,36-94,38.3%,97.2%,35,31,27.1,5.8,10.8,0.533,4.7,8.1,0.587,1.0,2.7,0.375,3.5,5.1,0.701,2.5,5.7,8.1,1.0,0.7,1.2,1.9,2.3,16.1
Victor Oladipo,35-36,97.2%,127-182,69.8%,35.4%,25-54,46.3%,24.0%,30-68,44.1%,83.3%,104,75,24.6,3.9,7.3,0.538,3.4,5.9,0.585,0.5,1.4,0.338,2.5,3.5,0.716,2.0,3.2,5.2,1.7,1.5,0.5,2.0,2.4,10.7
