,Unnamed: 0_x,player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,Unnamed: 0_y,school_name,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
33,33,Dillon Jones,5-5,100.0%,121-197,61.4%,6.6%,53-129,41.1%,5.7%,32-101,31.7%,78.1%,33,Weber State,119,96,32.8,5.0,10.0,0.499,4.1,7.3,0.565,0.9,2.7,0.32,4.2,5.1,0.823,1.1,8.5,9.6,3.5,1.7,0.1,2.7,2.0,15.0
34,34,Keshad Johnson,49-53,92.5%,91-134,67.9%,62.6%,24-58,41.4%,58.3%,36-93,38.7%,97.2%,34,Arizona,36,36,27.6,4.2,7.9,0.53,3.2,5.3,0.599,1.0,2.6,0.387,2.1,3.0,0.71,2.0,3.9,5.9,1.8,1.0,0.7,1.6,2.1,11.5
35,35,KJ Simpson,11-14,78.6%,112-203,55.2%,33.0%,52-127,40.9%,26.9%,79-182,43.4%,73.4%,35,Colorado,98,66,29.6,4.9,11.4,0.429,3.5,7.5,0.471,1.4,3.9,0.347,3.4,4.1,0.834,0.6,3.7,4.3,3.9,1.3,0.1,2.3,2.0,14.6
36,36,DaRon Holmes II,89-91,97.8%,173-242,71.5%,73.4%,51-129,39.5%,54.9%,6-19,31.6%,66.7%,36,Dayton,102,102,32.5,6.2,10.5,0.588,5.8,9.4,0.614,0.4,1.1,0.358,4.4,6.5,0.671,2.0,5.5,7.5,1.9,0.7,2.1,1.9,1.9,17.1
37,37,Jamal Shead,3-4,75.0%,63-106,59.4%,9.5%,71-188,37.8%,7.0%,43-139,30.9%,60.5%,37,Houston,138,108,27.5,3.6,8.8,0.412,2.7,5.6,0.476,0.9,3.1,0.296,1.5,2.0,0.772,0.6,2.3,2.8,5.0,1.6,0.3,1.8,1.9,9.7
38,38,Bronny James,4-5,80.0%,16-27,59.3%,56.3%,9-25,36.0%,44.4%,16-60,26.7%,75.0%,38,USC,25,6,19.3,1.6,4.5,0.366,1.0,2.1,0.481,0.6,2.4,0.267,0.9,1.4,0.676,0.3,2.6,2.8,2.1,0.8,0.2,1.1,1.7,4.8
39,39,Hunter Sallis,16-19,84.2%,66-104,63.5%,31.8%,83-171,48.5%,7.2%,75-185,40.5%,77.3%,39,Wake Forest,34,34,35.4,6.6,13.5,0.487,4.4,8.1,0.542,2.2,5.4,0.405,2.6,3.4,0.783,0.6,3.4,4.1,2.5,1.1,0.6,1.9,1.8,18.0
40,40,Jalen Bridges,17-19,89.5%,53-78,67.9%,52.8%,16-52,30.8%,18.8%,73-175,41.7%,87.7%,40,Baylor,69,69,29.5,3.9,8.1,0.484,2.3,3.9,0.597,1.6,4.2,0.378,1.9,2.3,0.8,2.1,3.5,5.7,1.2,1.0,0.8,1.0,1.9,11.2
41,41,Oso Ighodaro,62-71,87.3%,113-178,63.5%,66.4%,83-160,51.9%,55.4%,0-2,0.0%,0%,41,Marquette,109,72,26.7,4.2,6.7,0.624,4.2,6.7,0.626,0.0,0.0,0.0,1.5,2.4,0.616,1.8,3.4,5.3,2.3,0.8,1.2,1.4,2.2,9.9
42,42,Isaac Jones,50-56,89.3%,142-212,67.0%,43.0%,56-120,46.7%,58.9%,1-14,7.1%,100.0%,42,Washington State,35,34,31.7,5.7,9.9,0.575,5.7,9.5,0.596,0.0,0.4,0.071,3.9,5.5,0.712,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2.0,15.3
43,43,Jaylen Wells,4-4,100.0%,24-42,57.1%,29.2%,45-109,41.3%,22.2%,70-168,41.7%,88.6%,43,Washington State,34,20,29.2,4.1,9.4,0.436,2.0,4.4,0.457,2.1,4.9,0.417,2.3,2.9,0.814,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,12.6
44,44,Enrique Freeman,44-44,100.0%,169-251,67.3%,59.2%,34-76,44.7%,23.5%,19-52,36.5%,84.2%,44,Akron,132,122,27.8,5.3,8.5,0.628,5.2,8.1,0.644,0.2,0.5,0.35,3.1,4.6,0.67,3.1,7.6,10.6,1.3,0.6,1.4,1.9,2.5,14.0
45,45,Cam Spencer,0-0,0%,37-60,61.7%,45.9%,60-120,50.0%,23.3%,99-225,44.0%,82.8%,45,UConn,40,40,33.0,4.9,10.1,0.484,2.4,4.5,0.539,2.5,5.6,0.44,2.1,2.3,0.911,1.1,3.8,4.9,3.6,1.5,0.3,1.0,2.2,14.3
46,46,Antonio Reeves,9-11,81.8%,79-126,62.7%,45.6%,72-145,49.7%,38.9%,84-188,44.7%,86.9%,46,Kentucky,67,47,29.6,6.0,12.9,0.467,3.6,7.1,0.504,2.4,5.8,0.422,2.8,3.3,0.83,0.6,2.6,3.1,1.4,0.5,0.2,1.3,1.9,17.2
47,47,Jaxson Robinson,6-7,85.7%,47-64,73.4%,44.7%,36-92,39.1%,19.4%,81-229,35.4%,90.1%,47,BYU,66,36,27.3,4.0,9.8,0.41,1.9,3.7,0.512,2.2,6.2,0.349,1.2,1.4,0.844,0.4,2.3,2.7,1.6,0.8,0.5,1.5,1.7,11.4
48,48,Trevon Brazile,27-30,90.0%,44-58,75.9%,56.8%,11-36,30.6%,9.1%,24-68,35.3%,87.5%,48,Arkansas,35,23,26.1,3.3,6.8,0.485,2.3,4.1,0.57,1.0,2.8,0.361,1.8,2.6,0.689,1.5,4.4,5.9,0.6,0.7,1.2,1.7,2.4,9.4
49,49,Ugonna Onyenso,14-17,82.4%,29-42,69.0%,65.5%,4-17,23.5%,50.0%,0-1,0.0%,0%,49,Kentucky,40,14,14.0,1.3,2.4,0.543,1.3,2.3,0.548,0.0,0.0,0.0,0.6,1.0,0.585,1.5,2.4,3.9,0.2,0.3,2.1,0.5,1.1,3.2
